Tanggal,ff_avg
21-12-2022,3
22-12-2022,4
23-12-2022,3
24-12-2022,4
25-12-2022,5
26-12-2022,4
27-12-2022,3
28-12-2022,3
29-12-2022,4
30-12-2022,4
31-12-2022,6
