Tanggal,ff_avg,ff_x
01-01-2022,5,8
02-01-2022,3,5
03-01-2022,2,3
04-01-2022,3,6
05-01-2022,3,4
06-01-2022,2,4
07-01-2022,2,5
08-01-2022,4,5
09-01-2022,4,6
10-01-2022,4,7
11-01-2022,4,6
12-01-2022,4,7
13-01-2022,5,6
14-01-2022,5,7
15-01-2022,4,6
16-01-2022,4,11
17-01-2022,5,7
18-01-2022,4,7
19-01-2022,5,6
20-01-2022,4,6
21-01-2022,4,5
22-01-2022,3,5
23-01-2022,3,5
24-01-2022,3,5
25-01-2022,4,6
26-01-2022,4,6
27-01-2022,3,5
28-01-2022,3,6
29-01-2022,4,6
30-01-2022,2,4
31-01-2022,2,4
01-02-2022,3,3
02-02-2022,3,10
03-02-2022,4,5
04-02-2022,5,6
05-02-2022,5,8
06-02-2022,5,8
07-02-2022,2,4
08-02-2022,2,3
09-02-2022,3,4
10-02-2022,3,4
11-02-2022,2,3
12-02-2022,2,3
13-02-2022,2,3
14-02-2022,2,3
15-02-2022,2,4
16-02-2022,2,8
17-02-2022,2,3
18-02-2022,2,3
19-02-2022,3,5
20-02-2022,2,4
21-02-2022,3,6
22-02-2022,3,5
23-02-2022,5,7
24-02-2022,2,4
25-02-2022,3,5
26-02-2022,5,6
27-02-2022,5,5
28-02-2022,4,4
01-03-2022,3,5
02-03-2022,4,6
03-03-2022,3,6
04-03-2022,2,5
05-03-2022,2,3
06-03-2022,3,3
07-03-2022,2,5
08-03-2022,3,4
09-03-2022,3,5
10-03-2022,3,6
11-03-2022,3,6
12-03-2022,3,5
13-03-2022,1,2
14-03-2022,2,5
15-03-2022,3,5
16-03-2022,3,4
17-03-2022,3,5
18-03-2022,3,3
19-03-2022,3,4
20-03-2022,2,3
21-03-2022,3,8
22-03-2022,3,7
23-03-2022,3,4
24-03-2022,3,5
25-03-2022,3,4
26-03-2022,4,5
27-03-2022,4,5
28-03-2022,2,5
29-03-2022,3,5
30-03-2022,4,5
31-03-2022,3,5
01-04-2022,3,3
02-04-2022,2,4
03-04-2022,3,5
04-04-2022,2,3
05-04-2022,3,3
06-04-2022,3,5
07-04-2022,3,8
08-04-2022,3,4
09-04-2022,2,3
10-04-2022,2,3
11-04-2022,4,5
12-04-2022,4,5
13-04-2022,3,5
14-04-2022,3,5
15-04-2022,4,6
16-04-2022,4,4
17-04-2022,2,3
18-04-2022,3,6
19-04-2022,3,6
20-04-2022,3,3
21-04-2022,2,5
22-04-2022,3,4
23-04-2022,3,5
24-04-2022,3,4
25-04-2022,3,3
26-04-2022,3,4
27-04-2022,4,5
28-04-2022,3,5
29-04-2022,3,4
30-04-2022,3,4
01-05-2022,4,9
02-05-2022,3,6
03-05-2022,4,21
04-05-2022,3,4
05-05-2022,3,4
06-05-2022,3,4
07-05-2022,3,5
08-05-2022,3,4
09-05-2022,3,5
10-05-2022,3,5
11-05-2022,3,4
12-05-2022,3,4
13-05-2022,4,6
14-05-2022,2,4
15-05-2022,3,4
16-05-2022,3,4
17-05-2022,3,3
18-05-2022,3,4
19-05-2022,3,4
20-05-2022,2,3
21-05-2022,3,3
22-05-2022,3,4
23-05-2022,3,4
24-05-2022,3,4
25-05-2022,3,6
26-05-2022,3,4
27-05-2022,3,4
28-05-2022,4,5
29-05-2022,3,3
30-05-2022,2,3
31-05-2022,2,3
01-06-2022,3,3
02-06-2022,3,4
03-06-2022,2,3
04-06-2022,3,4
05-06-2022,3,3
06-06-2022,3,3
07-06-2022,3,3
08-06-2022,2,3
09-06-2022,3,4
10-06-2022,3,4
11-06-2022,3,3
12-06-2022,2,4
13-06-2022,3,4
14-06-2022,2,3
15-06-2022,3,4
16-06-2022,3,9
17-06-2022,3,5
18-06-2022,4,5
19-06-2022,3,4
20-06-2022,3,5
21-06-2022,3,3
22-06-2022,3,4
23-06-2022,4,9
24-06-2022,3,4
25-06-2022,3,4
26-06-2022,3,4
27-06-2022,2,3
28-06-2022,3,4
29-06-2022,4,5
30-06-2022,3,11
01-07-2022,3,5
02-07-2022,2,3
03-07-2022,3,3
04-07-2022,3,4
05-07-2022,2,5
06-07-2022,2,3
07-07-2022,3,4
08-07-2022,3,5
09-07-2022,3,4
10-07-2022,3,5
11-07-2022,3,8
12-07-2022,4,7
13-07-2022,3,4
