Tanggal,ff_avg
21-12-2022,3
22-12-2022,5
23-12-2022,4
24-12-2022,3
25-12-2022,5
26-12-2022,5
27-12-2022,4
28-12-2022,6
29-12-2022,7
30-12-2022,7
31-12-2022,7
