Tanggal,ff_avg,ff_x
17-10-2022,2,5
18-10-2022,1,5
19-10-2022,1,5
20-10-2022,2,6
21-10-2022,1,7
22-10-2022,3,5
23-10-2022,2,6
24-10-2022,2,4
25-10-2022,2,4
26-10-2022,2,10
27-10-2022,2,6
28-10-2022,2,6
29-10-2022,2,4
30-10-2022,2,6
31-10-2022,2,6
01-11-2022,1,3
02-11-2022,2,4
03-11-2022,1,4
04-11-2022,2,7
05-11-2022,1,5
06-11-2022,1,7
07-11-2022,1,4
08-11-2022,1,4
09-11-2022,2,7
10-11-2022,1,3
11-11-2022,1,5
12-11-2022,1,5
13-11-2022,1,6
14-11-2022,2,5
15-11-2022,2,5
16-11-2022,3,8
17-11-2022,1,6
18-11-2022,2,4
19-11-2022,1,6
20-11-2022,3,7
21-11-2022,2,10
22-11-2022,2,5
23-11-2022,1,4
24-11-2022,2,6
25-11-2022,1,3
26-11-2022,1,3
27-11-2022,1,12
28-11-2022,1,4
29-11-2022,2,8
30-11-2022,2,7
01-12-2022,1,4
02-12-2022,2,5
03-12-2022,1,7
04-12-2022,1,7
05-12-2022,1,6
06-12-2022,2,5
07-12-2022,2,4
08-12-2022,2,4
09-12-2022,1,4
10-12-2022,1,4
11-12-2022,1,4
12-12-2022,2,5
13-12-2022,2,7
14-12-2022,2,5
15-12-2022,2,6
16-12-2022,2,5
17-12-2022,1,4
18-12-2022,2,6
19-12-2022,3,7
20-12-2022,2,5
21-12-2022,3,6
22-12-2022,4,6
23-12-2022,3,7
24-12-2022,4,10
25-12-2022,5,11
26-12-2022,4,9
27-12-2022,3,8
28-12-2022,3,6
29-12-2022,4,8
30-12-2022,4,10
31-12-2022,6,13
